heading,section,txt_location,pop_out_image,pop_out_link,pop_alt_txt,pop_out_video,pop_out_txt,shapefile,lookup_value,intensity,intensity_txt,text,image_slideshow_folder,,video
Earthquake,What you can expect,1,WTE_CSZ.jpg,,,,,RDPOCascadiaM9_OR,1,25,Light,<p><b> Slight to no damage</b>. Items will rattle and it will feel like a big truck passing by on a busy street. Many people will feel <b>light shaking</b> that persists for minutes. Parked cars will rock back and forth.</p>,,,
Earthquake,What you can expect,1,WTE_CSZ.jpg,,,,,RDPOCascadiaM9_OR,2,55,Moderate,<p><b> Slight damage</b>. Unsecured items will fall off shelves. Cabinet doors may swing open and closed. You will feel <b>moderate</b> shaking that persists for minutes. If the earthquake hits at night&#44; the shaking will wake people up.</p>,,,
Earthquake,What you can expect,1,WTE_CSZ.jpg,,,,,RDPOCascadiaM9_OR,3,75,Strong,<p> <b>Some Damage</b>. Many unreinforced masonry buildings will be damaged&#44; and people may be injured from falling objects. You will feel <b>strong shaking</b> here that persists for minutes. It will make it hard to walk. </p>,,,
Earthquake,What you can expect,1,WTE_CSZ.jpg,,,,,RDPOCascadiaM9_OR,4,85,Very Strong,<p><b>Major Damage</b>. Bricks and shattered glass will litter the streets. Unbraced walls may fall. You will feel <b>very strong shaking</b> that persists for minutes. It will be hard to stand and many people will be injured. </p>,,,
Earthquake,What you can expect,1,WTE_CSZ.jpg,,,,,RDPOCascadiaM9_OR,5,95,Severe to violent,<p><b>Major Damage</b>. Large furniture will tip over&#44; homes will shift on foundations&#44; and cracks will form in the ground. Landslides will be triggered across the northwest. Especially&#44; if it’s the rainy time of year and the ground is saturated with water. You will feel <b>severe to violent shaking</b> that persists for minutes. It will be scary.</p>,,,
Earthquake,What you can expect,1,WTE_CSZ.jpg,,,,,RDPOCascadiaM9_3_Clark,3,75,Strong,<p> <b>Some Damage</b>. Many unreinforced masonry buildings will be damaged&#44; and people may be injured from falling objects. You will feel <b>strong shaking</b> here that persists for minutes. It will make it hard to walk. </p>,,,
Earthquake,What you can expect,1,WTE_CSZ.jpg,,,,,RDPOCascadiaM9_3_Clark,4,85,Very Strong,<p><b>Major Damage</b>. Bricks and shattered glass will litter the streets. Unbraced walls may fall. You will feel <b>very strong shaking</b> that persists for minutes. It will be hard to stand and many people will be injured. </p>,,,
,,,,,,,,,,,,,,,
Earthquake,What's the worst that could happen,1,,,,https://www.youtube.com/watch?v=yNN7eDXzlMo,<p><b>What does Magnitude tell us?</b><br><br>The Richter Magnitude is a measure of how much energy is released during an earthquake. Click on the video to learn more.</p>,RDPO_region,RDPO,,,<p><b>The most-likely and worst-case scenarios are one and the same. </b> Seismologists (earthquake scientists) know that a magnitude 8-9 earthquake is overdue for this region. It’s not clear exactly what magnitude the earthquake will be&#44; but on all accounts it is going to be big.  The shaking will last for minutes and cause light to major damage across the Northwest. Power and water could be off for days to weeks.</p>,,,
,,,,,,,,,,,,,,,
Earthquake,Be ready&#44; get prepared,1,placeholder.jpg,internal link,,,<p> For a comprehensive list of preparedness steps check out our prepare page!</p>,RDPO_region,RDPO,,,"<p>Have a family (adults & kids) communication plan </p><p>Assemble an emergency kit (even if it's not complete, every item will help)</p>",,,
Earthquake,Be ready&#44; get prepared,2,,,,,,RDPO_region,RDPO,,,"<p>Assemble an emergency kit (even if it's not complete, every item will help)</p>",,,
Earthquake,Be ready&#44; get prepared,3,,,,,,RDPO_counties,Cla,,,"<p> <a href=""https://www.clackamas.us/publicalerts"" target=_blank>Sign up </a> for Clackamas County alerts </p>",,,
Earthquake,Be ready&#44; get prepared,3,,,,,,RDPO_counties,Mlt,,,"<p> <a href=""http://www.publicalerts.org/"" target=_blank>Sign up </a> for Multnomah County alerts </p>",,,
Earthquake,Be ready&#44; get prepared,3,,,,,,RDPO_counties,Col,,,"<p> <a href=""https://public.coderedweb.com/CNE/en-US/BFDC685043F6"" target=_blank>Sign up </a> for Columbia County alerts </p>",,,
Earthquake,Be ready&#44; get prepared,3,,,,,,RDPO_counties,Clk,,,"<p> <a href=""https://member.everbridge.net/index/453003085616336#/login"" target=_blank>Sign up </a> for Clark County alerts </p>",,,
Earthquake,Be ready&#44; get prepared,3,,,,,,RDPO_counties,Was,,,"<p> <a href=""http://www.wccca.com/PublicAlerts/"" target=_blank>Sign up </a> for Washington County alerts </p>",,,
Earthquake,Be ready&#44; get prepared,4,,,,,,RDPO_region,RDPO,,,<p>Practice “Drop&#44; cover&#44; hold-on”</p>,,,
Earthquake,Be ready&#44; get prepared,5,,,,,,RDPO_region,RDPO,,,<p> Properly secure items that could fall </p>,,,
Earthquake,Be ready&#44; get prepared,6,,,,,,RDPO_region,RDPO,,,<p> Learn where utility shut offs are and how to turn them off</p>,,,
,,,,,,,,,,,,,,,
Earthquake,Other important details for your location,1,,,,https://youtu.be/4Uwxr42JqYQ,"<h4>What is Liquefaction?</h4>
<p>Liquefaction is a phenomenon that happens when the ground is shaken strongly by an earthquake. Soil or sediment that is water-filled and loosely packed is prone to liquefaction. During shaking the ground acts like quick-sand and no longer supports object like cars or buildings.</p> ",RDPOLiquefaction_OR,0,,,<p>This area is on solid rock or peat. It is not prone to liquefaction when shaken.</p>,,,
Earthquake,Other important details for your location,1,,,,https://youtu.be/4Uwxr42JqYQ,"<h4>What is Liquefaction?</h4>
<p>Liquefaction is a phenomenon that happens when the ground is shaken strongly by an earthquake. Soil or sediment that is water-filled and loosely packed is prone to liquefaction. During shaking the ground acts like quick-sand and no longer supports object like cars or buildings.</p> ",RDPOLiquefaction_OR,1,,,<p>This area is at low risk for liquefaction. Unless shaking is strong it is unlikely you will see liquefaction here.</p>,,,
Earthquake,Other important details for your location,1,,,,https://youtu.be/4Uwxr42JqYQ,"<h4>What is Liquefaction?</h4>
<p>Liquefaction is a phenomenon that happens when the ground is shaken strongly by an earthquake. Soil or sediment that is water-filled and loosely packed is prone to liquefaction. During shaking the ground acts like quick-sand and no longer supports object like cars or buildings.</p> ",RDPOLiquefaction_OR,2,,,"<p><b>Lookout! This area is at moderate risk for liquefaction</b>.
Shaken ground could become unstable.  This will reduce the ability of soil to hold homes&#44; vehicles&#44; and other structures. Sand-filled water may come up through cracks in streets.</p>",,,
Earthquake,Other important details for your location,1,,,,https://youtu.be/4Uwxr42JqYQ,"<h4>What is Liquefaction?</h4>
<p>Liquefaction is a phenomenon that happens when the ground is shaken strongly by an earthquake. Soil or sediment that is water-filled and loosely packed is prone to liquefaction. During shaking the ground acts like quick-sand and no longer supports object like cars or buildings.</p> ",RDPOLiquefaction_OR,3,,,<p><b>Lookout! This area is at high risk for liquefaction. </b> Shaken ground could become unstable.  This will reduce the ability of soil to hold homes&#44; vehicles&#44; and other structures. Sand-filled water may come up through cracks in streets.</p>,,,
Earthquake,Other important details for your location,1,,,,https://youtu.be/4Uwxr42JqYQ,"<h4>What is Liquefaction?</h4>
<p>Liquefaction is a phenomenon that happens when the ground is shaken strongly by an earthquake. Soil or sediment that is water-filled and loosely packed is prone to liquefaction. During shaking the ground acts like quick-sand and no longer supports object like cars or buildings.</p> ",RDPOLiquefact_Clark,0,,,<p>This area is on solid rock or peat. It is not prone to liquefaction when shaken.</p>,,,
