section,subsection,shapefile,heading,lookup_value,intensity,image,text,,,
What to Expect,Ground Shaking,EQ_Most_Like,Ground Shaking,1,12.5,,It is unlikely that you will feel ground shaking here. If you do it will be slight and cause no damage.,,,
What to Expect,Ground Shaking,EQ_Most_Like,Ground Shaking,2,25,,A few people may feel slight shaking. If you are on the upper floor of a building you are more likely to feel shaking. No damage is caused.,,,
What to Expect,Ground Shaking,EQ_Most_Like,Ground Shaking,3,37.5,,Shaking will be felt by people indoors and on upper floors of buildings. Parked cars may rock slightly. It would feel similar to a truck passing by on a paved road. No damage is caused.,,,
What to Expect,Ground Shaking,EQ_Most_Like,Ground Shaking,4,50,,"The shaking will be felt by many indoors and some people sleeping will wake up. Windows, dishes, and doors are moved. It may feel like a truck hitting a building.",,,
,,,,,,,,,,
What to Expect,Worst Case Scenario,EQ_Worst_Case,Worst Case Scenario,1,,,I-III. Weak to moderate shaking,,,
What to Expect,Worst Case Scenario,EQ_Worst_Case,Worst Case Scenario,2,,,VI. Strong shaking,,,
What to Expect,Worst Case Scenario,EQ_Worst_Case,Worst Case Scenario,3,,,VII. Very Strong Shaking,,,
What to Expect,Worst Case Scenario,EQ_Worst_Case,Worst Case Scenario,4,,,VII. Severe Shaking,,,
,,,,,,,,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,55,1,,This location is within 1 mile of the Jocko fault which runs from Big Knife creek to Finley Creek. It is not known to produce earthquakes.,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,54,2,,"This location is within 2 miles of a fault near Ovando, MT. It is not known to produce earthquakes.",,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,53,2,,"This location is within 2 miles of a fault near Ovando, MT. It is not known to produce earthquakes.",,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,52,2,,This location is within 2 miles of the Ninemile fault that runs from Missoula along Ninemile Creek for 43 miles. Small earthquakes have occurred near this fault in the past.,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,51,2,,This location is within 2 miles of the Jocko fault which runs from Big Knife creek to Finley Creek. It is not known to produce earthquakes.,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,50,5,,"This location is within 5 miles of a fault near Ovando, MT. It is not known to produce earthquakes.",,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,49,5,,This location is within 5 miles of the Swan fault that runs along the Swan Range. Small earthquakes have occurred near this fault in the past.,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,48,5,,"This location is within 5 miles of the Mission fault that runs along the Mission Mountains. Small earthquakes have occurred near this fault in in 2011, 2000, 1997.",,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,47,5,,"This location is within 5 miles of the Mission fault that runs along the Mission Mountains. Small earthquakes have occurred near this fault in in 2011, 2000, 1997.",,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,46,5,,This location is within 5 miles of the Ninemile fault that runs from Missoula along Ninemile Creek for 43 miles. Small earthquakes have occurred near this fault in the past.,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,45,5,,This location is within 5 miles of the Jocko fault which runs from Big Knife creek to Finley Creek. It is not known to produce earthquakes.,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,44,4,,"This location is within 4 miles of a fault near Ovando, MT. It is not known to produce earthquakes.",,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,43,4,,This location is within 4 miles of the Swan fault that runs along the Swan Range. Small earthquakes have occurred near this fault in the past.,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,42,4,,This location is within 4 miles of the Ninemile fault that runs from Missoula along Ninemile Creek for 43 miles. Small earthquakes have occurred near this fault in the past.,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,41,4,,This location is within 4 miles of the Jocko fault which runs from Big Knife creek to Finley Creek. It is not known to produce earthquakes.,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,40,3,,"This location is within 3 miles of a fault near Ovando, MT. It is not known to produce earthquakes.",,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,39,3,,This location is within 3 miles of the Swan fault that runs along the Swan Range. Small earthquakes have occurred near this fault in the past.,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,38,3,,This location is within 3 miles of the Ninemile fault that runs from Missoula along Ninemile Creek for 43 miles. Small earthquakes have occurred near this fault in the past.,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,37,3,,This location is within 3 miles of the Jocko fault which runs from Big Knife creek to Finley Creek. It is not known to produce earthquakes.,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,36,1,,"This location is within 1 mile of a fault near Ovando, MT. It is not known to produce earthquakes.",,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,35,1,,This location is within 1 mile of the Swan fault that runs along the Swan Range. Small earthquakes have occurred near this fault in the past.,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,34,2,,"This location is within 2 miles of a fault near Ovando, MT. It is not known to produce earthquakes.",,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,33,2,,This location is within 2 miles of the Swan fault that runs along the Swan Range. Small earthquakes have occurred near this fault in the past.,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,32,2,,This location is within 2 miles of the Ninemile fault that runs from Missoula along Ninemile Creek for 43 miles. Small earthquakes have occurred near this fault in the past.,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,31,2,,This location is within 2 miles of the Jocko fault which runs from Big Knife creek to Finley Creek. It is not known to produce earthquakes.,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,30,2,,"This location is within 2 miles of the Bitterroot fault. Movement along this fault is possible, but scientists think this fault may slip without creating ground shaking.",,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,29,0,,This location is farther than 5 miles from the nearest active fault.,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,28,5,,"This location is within 5 miles of a fault near Ovando, MT. It is not known to produce earthquakes.",,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,27,5,,This location is within 5 miles of the Swan fault that runs along the Swan Range. Small earthquakes have occurred near this fault in the past.,,,
